final_url,how_many,primary_posture,primary_occluded,staff_patient_other,exception_case
4dd607c40d7078880eb6eb95537f1a1c6e4209837870627ea7da73bbb4603388_cat-1_003.PNG,Two,Standing,Yes,Staff,No
4dd607c40d7078880eb6eb95537f1a1c6e4209837870627ea7da73bbb4603388_cat-1_004.PNG,Two,Standing,Yes,Staff,No
4dd6149eaf3d805a61c2c902a603500964ef3175872620e250ab740601dfac21_cat-1_001.PNG,Two,Sitting,No,Patient,No
4dd6149eaf3d805a61c2c902a603500964ef3175872620e250ab740601dfac21_cat-1_002.PNG,Two,Sitting,No,Staff,No
4dd6149eaf3d805a61c2c902a603500964ef3175872620e250ab740601dfac21_cat-1_003.PNG,One,Sitting,Yes,Other,No
4de232fcec8d39fabfa65d83fb47e117b51028c703f75e66eab9f9ae400066e9_cat-1_001.JPG,Two,Sitting,No,Patient,No
4de232fcec8d39fabfa65d83fb47e117b51028c703f75e66eab9f9ae400066e9_cat-1_002.JPG,Two,Standing,No,Staff,No
4de68f1518575ea30739f351629e2e463bddc2762349a2f094afc08f38f6d5eb_cat-1_001.PNG,One,Lying,No,Patient,No
4de68f1518575ea30739f351629e2e463bddc2762349a2f094afc08f38f6d5eb_cat-1_002.PNG,Two,Standing,No,Staff,No
4def948196da1df40ac306e0d975a21d8d46abfd10c945fcb283a821d2307dc9_cat-1_001.PNG,Two,Lying,Yes,Patient,No
4def948196da1df40ac306e0d975a21d8d46abfd10c945fcb283a821d2307dc9_cat-1_002.PNG,One,Standing,Yes,Staff,No
4def948196da1df40ac306e0d975a21d8d46abfd10c945fcb283a821d2307dc9_cat-1_003.PNG,One,Standing,Yes,Staff,No
4e11a560e7248550a427e72f09972003e450c9a6a6a6971701aaa0addcf0f704_cat-1_001.PNG,Two,Sitting,No,Staff,No
4e11a560e7248550a427e72f09972003e450c9a6a6a6971701aaa0addcf0f704_cat-1_002.PNG,Two,Sitting,No,Patient,No
4e22ef67c1be635435665becf74b0aa39ba79e3888499153aa928955ba4f39e3_cat-1_001.PNG,One,Lying,Yes,Patient,No
4e22ef67c1be635435665becf74b0aa39ba79e3888499153aa928955ba4f39e3_cat-1_002.PNG,One,Standing,Yes,Other,No
4e378bde42dfd4ce3f08840f765a67895eeefe7f4cdb9d356696a47c1232d437_cat-1_001.PNG,One,Standing,Yes,Staff,No
4e378bde42dfd4ce3f08840f765a67895eeefe7f4cdb9d356696a47c1232d437_cat-1_002.PNG,One,Standing,No,Staff,No
4e378bde42dfd4ce3f08840f765a67895eeefe7f4cdb9d356696a47c1232d437_cat-1_003.PNG,One,Standing,No,Staff,No
4e4b0b111f48dbbb3bf11e68f6243c4edf934be04891f189ba5bd3465c7474cc_cat-1_001.PNG,One,Sitting,Yes,Staff,No
4e4b0b111f48dbbb3bf11e68f6243c4edf934be04891f189ba5bd3465c7474cc_cat-1_002.PNG,Two,Sitting,No,Staff,No
2839b6fdfa2f3767aef09130f65344f96b17c62144a513f2a07ec821488aaec5_cat-1_001.PNG,One,Standing,No,Other,No
2839b6fdfa2f3767aef09130f65344f96b17c62144a513f2a07ec821488aaec5_cat-1_002.PNG,One,Standing,No,Staff,No
2854a94f4542874c1e5596173ca23b21baf5ce5198170c26e8bdf58d6de0c084_cat-1_001.PNG,One,Sitting,No,Other,No
2854a94f4542874c1e5596173ca23b21baf5ce5198170c26e8bdf58d6de0c084_cat-1_002.PNG,One,Standing,No,Other,No
2854a94f4542874c1e5596173ca23b21baf5ce5198170c26e8bdf58d6de0c084_cat-1_003.PNG,One,Sitting,No,Other,No
285b86a6b7c997044097d02b64b62fb8f3a23d905e0aae0433d502d49e824e43_cat-1_001.PNG,One,Standing,No,Staff,No
285b86a6b7c997044097d02b64b62fb8f3a23d905e0aae0433d502d49e824e43_cat-1_002.PNG,One,Standing,No,Other,No
285b86a6b7c997044097d02b64b62fb8f3a23d905e0aae0433d502d49e824e43_cat-1_003.PNG,One,Standing,Yes,Other,No
28640a6b60fb0be455872f8f3bda27a28be0c7582d4ecd83fa91be2fb07f3c8d_cat-1_001.PNG,One,Standing,No,Other,No
28640a6b60fb0be455872f8f3bda27a28be0c7582d4ecd83fa91be2fb07f3c8d_cat-1_002.PNG,One,Standing,No,Staff,No
288c3e4584987e117f123d922d1264ba0822f087dc82beabc83853c064776854_cat-1_001.JPG,One,Standing,No,Staff,No
288c3e4584987e117f123d922d1264ba0822f087dc82beabc83853c064776854_cat-1_002.JPG,One,Standing,No,Other,No
288c774d3d7d4b413addb791cfcfd81a8f8d49ed79d9aaa6325039fab9aec5ec_cat-1_001.PNG,Three,Lying,No,Patient,No
288c774d3d7d4b413addb791cfcfd81a8f8d49ed79d9aaa6325039fab9aec5ec_cat-1_002.PNG,One,Standing,No,Staff,No
288c774d3d7d4b413addb791cfcfd81a8f8d49ed79d9aaa6325039fab9aec5ec_cat-1_003.PNG,One,Standing,No,Staff,No
28bc3aa1dd8a1a8e0d7b52767df776df328f84e8dbd624b9fc1a9e360ef428af_cat-1_002.PNG,Three,Lying,No,Patient,No
28bc3aa1dd8a1a8e0d7b52767df776df328f84e8dbd624b9fc1a9e360ef428af_cat-1_003.PNG,One,Standing,No,Other,No
28bc3aa1dd8a1a8e0d7b52767df776df328f84e8dbd624b9fc1a9e360ef428af_cat-1_004.PNG,One,Standing,No,Other,No
28bc3aa1dd8a1a8e0d7b52767df776df328f84e8dbd624b9fc1a9e360ef428af_cat-1_005.PNG,One,Lying,Yes,Patient,No
28c12abe5651ce4b981379137e184d8a741d33c0a33f74cd7d9c8a4d050d6a30_cat-1_001.PNG,One,Standing,No,Other,No
28c12abe5651ce4b981379137e184d8a741d33c0a33f74cd7d9c8a4d050d6a30_cat-1_002.PNG,One,Standing,No,Staff,No
28c12abe5651ce4b981379137e184d8a741d33c0a33f74cd7d9c8a4d050d6a30_cat-1_003.PNG,One,Standing,No,Staff,No
28c4a97ecf506e8cfaf877bdfc94b3f89345d36c91c5b9068a4dbaffd0b67df9_cat-1_001.PNG,Two,Standing,No,Staff,No
28c4a97ecf506e8cfaf877bdfc94b3f89345d36c91c5b9068a4dbaffd0b67df9_cat-1_002.PNG,One,Standing,No,Staff,No
28c4a97ecf506e8cfaf877bdfc94b3f89345d36c91c5b9068a4dbaffd0b67df9_cat-1_003.PNG,One,Standing,No,Staff,No
28cbcc1453f159782299171e0b1040a44fb1a4c78e4e1d0bcfcbde588d7c8f50_cat-1_002.PNG,Two,Sitting,No,Other,No
28ceab5d3e03623a8264e09b2f8e43feadb8cdd34c2a274da0aa4abfff164ed6_cat-1_001.PNG,One,Standing,No,Staff,No
28ceab5d3e03623a8264e09b2f8e43feadb8cdd34c2a274da0aa4abfff164ed6_cat-1_002.PNG,One,Standing,No,Staff,No
28ceab5d3e03623a8264e09b2f8e43feadb8cdd34c2a274da0aa4abfff164ed6_cat-1_003.PNG,One,Standing,No,Staff,No
28d44e0578fd4feba32eccf922ac0645068b7af4f0d1d0641ee7349eb8b42d65_cat-1_001.JPG,One,Standing,No,Other,No
28d44e0578fd4feba32eccf922ac0645068b7af4f0d1d0641ee7349eb8b42d65_cat-1_002.JPG,One,Standing,No,Other,No
28d44e0578fd4feba32eccf922ac0645068b7af4f0d1d0641ee7349eb8b42d65_cat-1_003.JPG,One,Standing,No,Other,No
28d44e0578fd4feba32eccf922ac0645068b7af4f0d1d0641ee7349eb8b42d65_cat-1_004.JPG,One,Standing,No,Staff,No
28d44e0578fd4feba32eccf922ac0645068b7af4f0d1d0641ee7349eb8b42d65_cat-1_005.JPG,One,Standing,Yes,Staff,No
28d44e0578fd4feba32eccf922ac0645068b7af4f0d1d0641ee7349eb8b42d65_cat-1_006.JPG,None,,,,No
28d7f7f2eccc95ab9998a2e8a1d98b87fae09c4a2cbad64693398899b9a68aac_cat-1_001.PNG,One,Standing,No,Staff,No
28d7f7f2eccc95ab9998a2e8a1d98b87fae09c4a2cbad64693398899b9a68aac_cat-1_002.PNG,One,Standing,No,Other,No
290735c17da4acfae2b23290512ff4ffaf26902aad8e7ec44eddd19fff707fc8_cat-1_001.JPG,Two,Sitting,No,Staff,No
290735c17da4acfae2b23290512ff4ffaf26902aad8e7ec44eddd19fff707fc8_cat-1_002.JPG,One,Sitting,Yes,Staff,No
291355229b538d568f1398b39fee0e9ed1dd7fbbeeba956d687666d5e468a754_cat-1_001.JPG,One,Standing,No,Staff,No
291355229b538d568f1398b39fee0e9ed1dd7fbbeeba956d687666d5e468a754_cat-1_002.JPG,One,Standing,No,Other,No
2920e47b5880a10e9ee814084a30d99327c5bbae36addef4c95b1718144fb7d2_cat-1_002.PNG,One,Standing,No,Staff,No
293b73459455164a885697952a03cf67ae25d5c71be0e5102b7d82697b4d69b1_cat-1_001.PNG,One,Standing,No,Staff,No
293b73459455164a885697952a03cf67ae25d5c71be0e5102b7d82697b4d69b1_cat-1_002.PNG,Three,Lying,No,Patient,No
293b73459455164a885697952a03cf67ae25d5c71be0e5102b7d82697b4d69b1_cat-1_003.PNG,One,Standing,No,Staff,No
293b73459455164a885697952a03cf67ae25d5c71be0e5102b7d82697b4d69b1_cat-1_004.PNG,One,Lying,Yes,Patient,No
2965d6fa5907e3f3c339bd130c19b57a75352b8db7459c269380fe46eb177913_cat-1_001.PNG,One,Standing,No,Other,No
2965d6fa5907e3f3c339bd130c19b57a75352b8db7459c269380fe46eb177913_cat-1_002.PNG,One,Standing,Unknown / Watermark,Staff,No
2965d6fa5907e3f3c339bd130c19b57a75352b8db7459c269380fe46eb177913_cat-1_003.PNG,One,Standing,Unknown / Watermark,Staff,No
2965d6fa5907e3f3c339bd130c19b57a75352b8db7459c269380fe46eb177913_cat-1_004.PNG,One,Standing,No,Other,No
296738c9e9cec503e7c2acdc389c3f2144ffb67223336e6f8745186bbc62830b_cat-1_001.PNG,One,Sitting,No,Other,No
29728fef7d77b9c1b960e09c91532040629394a8d45a96bc505c0dfc2b9cc3db_cat-1_002.PNG,One,Sitting,No,Staff,No
29728fef7d77b9c1b960e09c91532040629394a8d45a96bc505c0dfc2b9cc3db_cat-1_003.PNG,One,Sitting,No,Staff,No
297d8fbc0bc1dfd196ef13c3d7c03ddb6d1336d21cdffda76d354e862c200ddb_cat-1_001.PNG,One,Standing,No,Staff,No
297d8fbc0bc1dfd196ef13c3d7c03ddb6d1336d21cdffda76d354e862c200ddb_cat-1_002.PNG,Two,Standing,No,Staff,No
297d8fbc0bc1dfd196ef13c3d7c03ddb6d1336d21cdffda76d354e862c200ddb_cat-1_004.PNG,None,,,,No
297d8fbc0bc1dfd196ef13c3d7c03ddb6d1336d21cdffda76d354e862c200ddb_cat-1_005.PNG,Two,Standing,Yes,Staff,Yes
2995560cce1dc8c5d5041994ec386d20f5ef811cd8e2328d7a7e8ce4580889b0_cat-1_001.PNG,One,Standing,No,Staff,No
2995560cce1dc8c5d5041994ec386d20f5ef811cd8e2328d7a7e8ce4580889b0_cat-1_002.PNG,One,Standing,No,Staff,No
2995560cce1dc8c5d5041994ec386d20f5ef811cd8e2328d7a7e8ce4580889b0_cat-1_003.PNG,Two,Standing,No,Staff,No
29a311ed2a2cbe4b6174eb12e1c5efbb6d66cebd5f7bbbeee1da38d0620373a8_cat-1_001.JPG,One,Standing,No,Staff,No
29a311ed2a2cbe4b6174eb12e1c5efbb6d66cebd5f7bbbeee1da38d0620373a8_cat-1_002.JPG,One,Standing,No,Staff,No
29a9da8e0aa355bc4dad9361bae5a2844f5448187e4296fdce0d1e4d26947c4a_cat-1_001.PNG,One,Standing,No,Staff,No
29a9da8e0aa355bc4dad9361bae5a2844f5448187e4296fdce0d1e4d26947c4a_cat-1_002.PNG,Three,Standing,No,Staff,No
29a9da8e0aa355bc4dad9361bae5a2844f5448187e4296fdce0d1e4d26947c4a_cat-1_003.PNG,One,Standing,Yes,Staff,No
29a9da8e0aa355bc4dad9361bae5a2844f5448187e4296fdce0d1e4d26947c4a_cat-1_004.PNG,None,,,,No
29a9da8e0aa355bc4dad9361bae5a2844f5448187e4296fdce0d1e4d26947c4a_cat-1_005.PNG,None,,,,No
29aa3ccf20de91c80488e927c984b605240d4c480a5ecde7e9ba460cca25c333_cat-1_001.PNG,One,Sitting,No,Staff,No
29aa3ccf20de91c80488e927c984b605240d4c480a5ecde7e9ba460cca25c333_cat-1_002.PNG,One,Sitting,No,Other,No
29aa6d52fa060ea5cc5117ba693b23dbfd1a3df443c4d8698e115ca814b1f2e0_cat-1_001.JPG,None,,,,No
29aa6d52fa060ea5cc5117ba693b23dbfd1a3df443c4d8698e115ca814b1f2e0_cat-1_002.JPG,One,Standing,No,Staff,No
29aa6d52fa060ea5cc5117ba693b23dbfd1a3df443c4d8698e115ca814b1f2e0_cat-1_003.JPG,None,,,,No
29aa6d52fa060ea5cc5117ba693b23dbfd1a3df443c4d8698e115ca814b1f2e0_cat-1_004.JPG,One,Standing,No,Staff,No
29aa6d52fa060ea5cc5117ba693b23dbfd1a3df443c4d8698e115ca814b1f2e0_cat-1_005.JPG,One,Standing,No,Staff,No
29dbc7d204ea26ef55ef41019f06b57cc56c50a8da97fc0686d3896ef0d3a2b5_cat-1_001.PNG,Two,Sitting,No,Patient,No
29dbc7d204ea26ef55ef41019f06b57cc56c50a8da97fc0686d3896ef0d3a2b5_cat-1_002.PNG,Two,Standing,No,Staff,No
29e12fc225874eec0d877e317fa3ffa813c5af1b9a40cbde035e036fd24d4676_cat-1_001.PNG,One,Lying,Yes,Patient,No
29e12fc225874eec0d877e317fa3ffa813c5af1b9a40cbde035e036fd24d4676_cat-1_002.PNG,One,Standing,No,Staff,No
29e12fc225874eec0d877e317fa3ffa813c5af1b9a40cbde035e036fd24d4676_cat-1_003.PNG,One,Sitting,No,Other,No
29e9495f1b2d4e820bb4e82abf76667219baa22264e62205a3901a90377dffab_cat-1_001.JPG,One,Lying,No,Patient,No
29e9495f1b2d4e820bb4e82abf76667219baa22264e62205a3901a90377dffab_cat-1_002.JPG,Two,Standing,No,Staff,No
29f22d0eb825ac2ed539069dd175b825efb1cab23b3abbe7fb45d2e020bb90b0_cat-1_001.PNG,Two,Unknown,,,Yes
29f22d0eb825ac2ed539069dd175b825efb1cab23b3abbe7fb45d2e020bb90b0_cat-1_002.PNG,One,Standing,No,Staff,No
29f22d0eb825ac2ed539069dd175b825efb1cab23b3abbe7fb45d2e020bb90b0_cat-1_003.PNG,One,Lying,No,Patient,No
29f49d4f3eb74a605520a4dfefe6e511d0b021295bb0cf932b56fc0d6f2212c5_cat-1_001.PNG,One,Standing,No,Staff,No
29f861650f26f6288d8a3ef2feac0e3abb861d2417c71a4a6d4031b07c4e211d_cat-1_001.PNG,One,Sitting,No,Patient,No
29f861650f26f6288d8a3ef2feac0e3abb861d2417c71a4a6d4031b07c4e211d_cat-1_002.PNG,One,Sitting,No,Staff,No
2a027168669497ce677af86816b8d7312f19a9e455ad9d2fad80e9d535a108e7_cat-1_001.PNG,One,Standing,No,Staff,No
2a027168669497ce677af86816b8d7312f19a9e455ad9d2fad80e9d535a108e7_cat-1_002.PNG,One,Standing,No,Staff,No
2a027168669497ce677af86816b8d7312f19a9e455ad9d2fad80e9d535a108e7_cat-1_003.PNG,One,Standing,No,Patient,No
2a09a4875f427a2abc5e9dcd4a4615ab4857f0201625f66157c526c8a174aa7b_cat-1_001.PNG,One,Standing,No,Staff,No
2a09a4875f427a2abc5e9dcd4a4615ab4857f0201625f66157c526c8a174aa7b_cat-1_002.PNG,One,Standing,No,Staff,No
2a09a4875f427a2abc5e9dcd4a4615ab4857f0201625f66157c526c8a174aa7b_cat-1_003.PNG,One,Standing,No,Other,No
2a1472b136cc3de1be8fa4a667525978993c8010fafd7bb3adb55960b20a1c9d_cat-1_001.PNG,Two,Standing,No,Staff,No
2a1472b136cc3de1be8fa4a667525978993c8010fafd7bb3adb55960b20a1c9d_cat-1_002.PNG,Two,Standing,No,Other,No
2a1472b136cc3de1be8fa4a667525978993c8010fafd7bb3adb55960b20a1c9d_cat-1_003.PNG,One,Standing,Yes,Staff,No
2a1472b136cc3de1be8fa4a667525978993c8010fafd7bb3adb55960b20a1c9d_cat-1_004.PNG,One,Standing,No,Staff,No
2a1dd8d2d342bc96d8c6309712f2cbefe7dd4df01b6ca73d39bc97a4b2c14943_cat-1_001.JPG,Two,Standing,No,Staff,No
2a1dd8d2d342bc96d8c6309712f2cbefe7dd4df01b6ca73d39bc97a4b2c14943_cat-1_003.JPG,One,Sitting,No,Patient,No
2a24a8c0dabe94c497042bdbe835ba489676646f21089ca75523e6a5c8b663a0_cat-1_001.PNG,One,Lying,No,Staff,No
