final_url,how_many,primary_posture,primary_occluded,staff_patient_other
0b9f1ebedd9e83f4d6e65fe63fc61c04e17a4f427604c96065152853f591cbf1_cat-1_002.png,Two,Standing,No,Staff
0b9f1ebedd9e83f4d6e65fe63fc61c04e17a4f427604c96065152853f591cbf1_cat-1_003.png,One,Standing,No,Other
0baa188f3885b97d3d25a86798957d985c3b9354648ac73e8eed097fb1b2df8e_cat-1_001.PNG,None,,,
0baa188f3885b97d3d25a86798957d985c3b9354648ac73e8eed097fb1b2df8e_cat-1_002.PNG,One,Standing,No,Other
0baa188f3885b97d3d25a86798957d985c3b9354648ac73e8eed097fb1b2df8e_cat-1_003.PNG,One,Standing,No,Staff
0baa188f3885b97d3d25a86798957d985c3b9354648ac73e8eed097fb1b2df8e_cat-1_004.PNG,One,Standing,No,Other
0bb7fdb71bc13fd554ae3d05e36166ef72f2f6ec42b72c6311e1b44ed9b368b3_cat-1_001.PNG,Two,Standing,No,Other
0bb7fdb71bc13fd554ae3d05e36166ef72f2f6ec42b72c6311e1b44ed9b368b3_cat-1_003.PNG,One,Standing,Yes,Staff
0bb7fdb71bc13fd554ae3d05e36166ef72f2f6ec42b72c6311e1b44ed9b368b3_cat-1_004.PNG,One,Standing,Yes,Staff
0bbb48c385db56c10aa924a43433a6ac970a4e0974a6e7a9ced5698681a4a3fb_cat-1_001.jpg,One,Lying,No,Patient
0bbb48c385db56c10aa924a43433a6ac970a4e0974a6e7a9ced5698681a4a3fb_cat-1_002.jpg,One,Sitting,No,Staff
0bc919b4c6f83eb0bbcfde57f0e40d26291c2d5044bcd5a6d9335eecb73e9f3c_cat-1_002.PNG,One,Standing,No,Staff
0bc919b4c6f83eb0bbcfde57f0e40d26291c2d5044bcd5a6d9335eecb73e9f3c_cat-1_003.PNG,One,Standing,No,Staff
0bc919b4c6f83eb0bbcfde57f0e40d26291c2d5044bcd5a6d9335eecb73e9f3c_cat-1_004.PNG,One,Standing,No,Staff
0be15e71a338a7bc3f8297710aed9d968744ae3e103793f6475370ede930766e_cat-1_003.PNG,One,Standing,No,Other
0beb8463f831ff56980900bdcc517c2338a9e33df9a970f4ef463497e40257fb_cat-1_001.png,Two,Standing,Yes,Staff
0beb8463f831ff56980900bdcc517c2338a9e33df9a970f4ef463497e40257fb_cat-1_002.png,One,Standing,No,Staff
0beb8463f831ff56980900bdcc517c2338a9e33df9a970f4ef463497e40257fb_cat-1_003.png,One,Standing,No,Staff
0beb8463f831ff56980900bdcc517c2338a9e33df9a970f4ef463497e40257fb_cat-1_004.png,Two,Standing,No,Staff
0beb8463f831ff56980900bdcc517c2338a9e33df9a970f4ef463497e40257fb_cat-1_005.png,None,,,
0bf0322b2a9fd65473af05ccf679e686b08948012afdf606b9fd61ae66ca799c_cat-1_001.PNG,One,Unknown,Yes,Staff
0bf0322b2a9fd65473af05ccf679e686b08948012afdf606b9fd61ae66ca799c_cat-1_002.PNG,One,Standing,No,Other
0bf0322b2a9fd65473af05ccf679e686b08948012afdf606b9fd61ae66ca799c_cat-1_003.PNG,One,Standing,No,Other
0bf703cbca791faa121f2687c1eb0fd49c993b353effdfe16bbc905527d4aba3_cat-1_003.jpg,Two,Standing,No,Staff
0bf703cbca791faa121f2687c1eb0fd49c993b353effdfe16bbc905527d4aba3_cat-1_004.jpg,One,Unknown,Yes,Staff
0bf8c8e7b09ab5d549843ea6ae1f7e9c310fcd9b9867a1d391c76f6c13033910_cat-1_001.PNG,One,Sitting,No,Other
0bf8c8e7b09ab5d549843ea6ae1f7e9c310fcd9b9867a1d391c76f6c13033910_cat-1_002.PNG,One,Sitting,Yes,Staff
0c18734ec556c278ec41404b53e5da8512dac563a82f7410f8954289e211bfaf_cat-1_001.jpg,One,Standing,No,Other
0c18734ec556c278ec41404b53e5da8512dac563a82f7410f8954289e211bfaf_cat-1_002.jpg,One,Sitting,No,Patient
0c1fae96d2fe79a07d9c6cef3eb8dcc0a31ec62e3ea515913532618775fdda32_cat-1_001.PNG,One,Sitting,No,Other
0c1fae96d2fe79a07d9c6cef3eb8dcc0a31ec62e3ea515913532618775fdda32_cat-1_002.PNG,One,Sitting,No,Other
0c1fae96d2fe79a07d9c6cef3eb8dcc0a31ec62e3ea515913532618775fdda32_cat-1_003.PNG,One,Sitting,Yes,Other
0c1fae96d2fe79a07d9c6cef3eb8dcc0a31ec62e3ea515913532618775fdda32_cat-1_004.PNG,Two,Sitting,Yes,Staff
0c2bac1a917ab43d201c537684e84c31ec41dc6c19a5b195f3358dcbd8bba446_cat-1_001.PNG,One,Sitting,No,Staff
0c2bac1a917ab43d201c537684e84c31ec41dc6c19a5b195f3358dcbd8bba446_cat-1_002.PNG,One,Sitting,No,Other
0c2eaad6cf29c546ce3d917d0952d1e11fd315f3dc1f255c796cd7204767b3d5_cat-1_002.PNG,One,Sitting,No,Patient
0c2eaad6cf29c546ce3d917d0952d1e11fd315f3dc1f255c796cd7204767b3d5_cat-1_003.PNG,Two,Standing,No,Staff
0c3a374ff8b560e2a791dfed2c47b68b3792c390fe3fb1e324bf9167204f87fe_cat-1_001.PNG,One,Standing,No,Staff
0c3a374ff8b560e2a791dfed2c47b68b3792c390fe3fb1e324bf9167204f87fe_cat-1_002.PNG,Two,Lying,No,Patient
0c3c21db4808a2f542594bfd5bf3fe38403f07214397b475608ab908e56b09c6_cat-1_001.png,One,Standing,No,Other
0c3c21db4808a2f542594bfd5bf3fe38403f07214397b475608ab908e56b09c6_cat-1_002.png,One,Sitting,No,Other
0c3c21db4808a2f542594bfd5bf3fe38403f07214397b475608ab908e56b09c6_cat-1_003.png,One,Standing,No,Other
8f5b65e407de98583f5f524bc5382d19f318cd45fc0355f003b7148b034e6201_cat-1_001.PNG,One,Standing,No,Staff
8f5b65e407de98583f5f524bc5382d19f318cd45fc0355f003b7148b034e6201_cat-1_002.PNG,One,Standing,No,Other
8f600da69b5fca4c570ce242e2be1c72ee3f6691ed7421cd03c0c1d2caadd763_cat-1_001.jpg,One,Lying,No,Patient
8f600da69b5fca4c570ce242e2be1c72ee3f6691ed7421cd03c0c1d2caadd763_cat-1_002.jpg,None,,,
8f600da69b5fca4c570ce242e2be1c72ee3f6691ed7421cd03c0c1d2caadd763_cat-1_003.jpg,One,Standing,No,Staff
8f600da69b5fca4c570ce242e2be1c72ee3f6691ed7421cd03c0c1d2caadd763_cat-1_004.jpg,None,,,
8f600da69b5fca4c570ce242e2be1c72ee3f6691ed7421cd03c0c1d2caadd763_cat-1_005.jpg,None,,,
8f600da69b5fca4c570ce242e2be1c72ee3f6691ed7421cd03c0c1d2caadd763_cat-1_006.jpg,One,Standing,No,Staff
8f600da69b5fca4c570ce242e2be1c72ee3f6691ed7421cd03c0c1d2caadd763_cat-1_007.jpg,One,Standing,No,Staff
8f600da69b5fca4c570ce242e2be1c72ee3f6691ed7421cd03c0c1d2caadd763_cat-1_008.jpg,None,,,
8f600da69b5fca4c570ce242e2be1c72ee3f6691ed7421cd03c0c1d2caadd763_cat-1_009.jpg,One,Standing,No,Staff
8f600da69b5fca4c570ce242e2be1c72ee3f6691ed7421cd03c0c1d2caadd763_cat-1_010.jpg,None,,,
8f62d0b25cc188732a501dd205f78f1a81d3a7a93afc119db04f0efbf37189ea_cat-1_001.PNG,One,Standing,No,Other
8f62d0b25cc188732a501dd205f78f1a81d3a7a93afc119db04f0efbf37189ea_cat-1_002.PNG,One,Standing,No,Other
8f62d0b25cc188732a501dd205f78f1a81d3a7a93afc119db04f0efbf37189ea_cat-1_003.PNG,One,Standing,No,Staff
